tour,calendar_year,date,event_name,event_id,sg_categories,traditional_stats
pga,2023,2023-04-16,RBC Heritage,12,yes,yes
pgti,2023,2023-04-15,Tata Steel PGTI Players Championship presented by Chandigarh Golf Club,9932,no,no
ngl,2023,2023-04-15,GEBWELL Championship,9922,no,no
mex,2023,2023-04-15,Abierto De Aguascalientes,9930,no,no
mgt,2023,2023-04-13,"Malaysian Swing I, The Els Club, Desaru Coast",9929,no,no
ngl,2023,2023-04-11,Sand Valley Polish Masters - by Upgame,9921,no,no
pgt,2023,2023-04-11,EINBAY Red Sea Open,9931,no,no
pga,2023,2023-04-09,Masters Tournament,14,yes,yes
pgti,2023,2023-04-07,Delhi-NCR Open,9920,no,no
atvt,2023,2023-04-07,Novil Cup,9919,no,no
pgt,2023,2023-04-06,Little Venice Red Sea Open,9918,no,no
sam,2023,2023-04-02,JHSF Aberto do Brasil,6,no,no
jpn,2023,2023-04-02,Token Homemate Cup,9914,no,no
kft,2023,2023-04-02,Astara Chile Classic,167,no,no
afr,2023,2023-04-02,Limpopo Championship,9916,no,no
liv,2023,2023-04-02,Orlando,11,no,basic
pga,2023,2023-04-02,Valero Texas Open,41,yes,yes
anz,2023,2023-04-02,The National Tournament Presented by BMW,9915,no,no
cha,2023,2023-03-31,The Challenge presented by KGA,2023326,no,no
euro,2023,2023-03-26,Jonsson Workwear Open,2023119,no,no
cha,2023,2023-03-26,Duncan Taylor Black Bull Challenge,2023325,no,no
sam,2023,2023-03-26,Roberto de Vicenzo Memorial 100 Years,61,no,no
champ,2023,2023-03-26,The Galleri Classic,56,no,no
pgt,2023,2023-03-26,Red Sea Egyptian Classic,9909,no,no
pga,2023,2023-03-26,Corales Puntacana Championship,522,no,basic
kft,2023,2023-03-26,Club Car Championship at The Landings Golf & Athletic Club,128,no,no
asa,2023,2023-03-26,World City Championship presented by Hong Kong Golf Club,9905,no,no
champ,2023,2023-03-19,Hoag Classic,573,no,no
pga,2023,2023-03-19,Valspar Championship,475,yes,yes
atgt,2023,2023-03-19,Singha all Thailand Memorial,9899,no,no
sam,2023,2023-03-19,Termas de Rio Hondo Invitational,42,no,no
asa,2023,2023-03-19,The DGC Open,9897,no,no
liv,2023,2023-03-19,Tucson,10,no,basic
euro,2023,2023-03-19,SDC Championship,2023118,no,no
anz,2023,2023-03-19,Play Today NSW Open,9900,no,no
pgt,2023,2023-03-16,Red Sea Ain Sokhna Classic,9901,no,no
pga,2023,2023-03-12,THE PLAYERS Championship,11,yes,yes
afr,2023,2023-03-12,Mediclinic Invitational,9894,no,no
euro,2023,2023-03-12,Magical Kenya Open,2023114,no,no
asa,2023,2023-03-12, International Series Thailand,9892,no,no
anz,2023,2023-03-12,NZ PGA Championship,9893,no,no
pga,2023,2023-03-05,Arnold Palmer Invitational presented by Mastercard,9,yes,yes
champ,2023,2023-03-05,Cologuard Classic,18,no,no
pga,2023,2023-03-05,Puerto Rico Open,483,no,basic
anz,2023,2023-03-05,102nd NZ Open Presented by Sky Sport,9885,no,no
ngl,2023,2023-03-04,Camiral Golf & Wellness Championship,9888,no,no
pgti,2023,2023-03-04,Gujarat Open Golf Championship 2023 presented by Gujarat Tourism,9886,no,no
mex,2023,2023-03-04,V Copa Prissa,9887,no,no
alp,2023,2023-02-28,Red Sea Little Venice Open,9884,no,no
ngl,2023,2023-02-28,ECCO Tour Spanish Masters,9889,no,no
anz,2023,2023-02-26,"TPS Hunter Valley, Hosted by Jan Stephenson & Peter O'Malley",9881,no,no
atgt,2023,2023-02-26,Singha E-San Open,9880,no,no
pga,2023,2023-02-26,The Honda Classic,10,yes,yes
liv,2023,2023-02-26,Mayakoba,9,no,no
euro,2023,2023-02-26,Hero Indian Open,2023112,no,no
cha,2023,2023-02-26,Nelson Mandela Bay Championship,2023303,no,no
alp,2023,2023-02-23,Ein Bay Open,9877,no,no
ngl,2023,2023-02-23, GolfStar Winter Series II,9878,no,no
euro,2023,2023-02-19,Thailand Classic,2023111,no,no
asa,2023,2023-02-19,International Series Qatar,9872,no,no
ngl,2023,2023-02-19,GolfStar Winter Series I,9874,no,no
pga,2023,2023-02-19,The Genesis Invitational,7,yes,yes
champ,2023,2023-02-19,Chubb Classic,552,no,no
anz,2023,2023-02-19,"TPS Sydney, Presented by Webex, Hosted by Braith Anasta",9873,no,no
cha,2023,2023-02-19,SDC Open,2023302,no,no
cha,2023,2023-02-12,Dimension Data Pro-Am,2023301,no,no
asa,2023,2023-02-12,International Series Oman,9863,no,no
kft,2023,2023-02-12,Astara Golf Championship presented by Mastercard,104,no,no
anz,2023,2023-02-12,Vic Open,9865,no,no
euro,2023,2023-02-12,Singapore Classic,2023110,no,no
pga,2023,2023-02-12,WM Phoenix Open,3,yes,yes
champ,2023,2023-02-11,Trophy Hassan II,624,no,no
mex,2023,2023-02-11,Tabachines Classic,9867,no,no
pgti,2023,2023-02-10,Tata Steel PGTI Players Championship presented by Tollygunge Club,9864,no,no
mgt,2023,2023-02-07,Egyptian Swing 2 at Madinaty Golf Club,9866,no,no
anz,2023,2023-02-05,TPS Murray River in honour of Jarrod Lyle,9857,no,no
cha,2023,2023-02-05,Bain's Whisky Cape Town Open,2023300,no,no
euro,2023,2023-02-05,Ras Al Khaimah Championship,2023109,no,no
pga,2023,2023-02-05,AT&T Pebble Beach Pro-Am,5,partial,partial
asa,2023,2023-02-05,PIF Saudi International powered by Softbank Investment Advisers,9856,no,no
kft,2023,2023-02-05,The Panama Championship,84,no,no
mgt,2023,2023-02-02,Egyptian Swing 1 at Madinaty Golf Club,9858,no,no
anz,2023,2023-01-29,TPS Victoria Hosted by Geoff Ogilvy,9849,no,no
mex,2023,2023-01-29,El Campanario Classic,9850,no,no
atgt,2023,2023-01-29,9th Boonchu Ruangkit Championship,9848,no,no
euro,2023,2023-01-29,Hero Dubai Desert Classic,2023108,no,no
pga,2023,2023-01-28,Farmers Insurance Open,4,partial,partial
kft,2023,2023-01-25,The Bahamas Great Abaco Classic at The Abaco Club,125,no,no
pga,2023,2023-01-22,The American Express,2,partial,partial
euro,2023,2023-01-22,Abu Dhabi HSBC Championship,2023107,no,no
champ,2023,2023-01-21,Mitsubishi Electric Championship at Hualalai,524,no,no
kft,2023,2023-01-18,The Bahamas Great Exuma Classic at Sandals Emerald Bay,124,no,no
pga,2023,2023-01-15,Sony Open in Hawaii,6,yes,yes
pga,2023,2023-01-08,Sentry Tournament of Champions,16,yes,yes
adt,2022,2022-12-25,Taifong Open,9838,no,no
chn,2022,2022-12-25,Chongqing Open,9839,no,no
pgti,2022,2022-12-24,Tata Steel Tour Championship,9837,no,no
sam,2022,2022-12-18,Scotia Wealth Management Chile Open presented by Volvo,16,no,no
euro,2022,2022-12-18,AfrAsia Bank Mauritius Open,2023105,no,no
pgti,2022,2022-12-17,SSP Chawrasia Invitational presented by TAKE,9836,no,no
chn,2022,2022-12-17,CGA Championship,9835,no,no
adt,2022,2022-12-16,Aramco Invitational,9834,no,no
euro,2022,2022-12-11,Alfred Dunhill Championship,2023104,no,no
anz,2022,2022-12-11,Gippsland Super 6,9830,no,no
chn,2022,2022-12-11,Hainan Open,9828,no,no
sam,2022,2022-12-11,Neuquen Argentina Classic,12,no,no
adt,2022,2022-12-10,PIF Saudi Open,9829,no,no
mgt,2022,2022-12-05,MENA Tour Tournament 4,9825,no,no
jpn,2022,2022-12-04,Golf Nippon Series JT Cup ,9815,no,no
euro,2022,2022-12-04,Investec South African Open Championship,2023103,no,no
euro,2022,2022-12-04,ISPS Handa Australian Open,2023102,no,no
asa,2022,2022-12-04,BNI Indonesian Masters presented by Tunas Niaga Energi,9817,no,no
sam,2022,2022-12-04,116 VISA Argentina Open presentado por Macro,13,no,no
pga,2022,2022-12-04,Hero World Challenge,478,no,basic
chn,2022,2022-12-04,Mitsubishi Electric Open,9816,no,no
mgt,2022,2022-11-30,MENA Tour Tournament 3,9820,no,no
euro,2022,2022-11-27,Fortinet Australian PGA Championship,2023100,no,no
asa,2022,2022-11-27,Bangabandhu Cup Golf Bangladesh Open,9809,no,no
jpn,2022,2022-11-27,Casio World Open Golf Tournament,9808,no,no
pgti,2022,2022-11-27,Dream Valley Group presents Vooty Masters,9811,no,no
euro,2022,2022-11-27,Joburg Open,2023101,no,no
adt,2022,2022-11-26,Selangor Masters,9810,no,no
atgt,2022,2022-11-20,23rd Singha Thailand Masters,9805,no,no
euro,2022,2022-11-20,DP World Tour Championship,2022143,no,no
jpn,2022,2022-11-20,Dunlop Phoenix Tournament,9802,no,no
anz,2022,2022-11-20,QLD PGA Championship,9806,no,no
pga,2022,2022-11-20,The RSM Classic,493,partial,partial
pgti,2022,2022-11-19, IndianOil Servo Masters Golf,9804,no,no
bet,2022,2022-11-17,Altron Big Easy Tour Final,9807,no,no
euro,2022,2022-11-13,Nedbank Golf Challenge,2022145,no,no
kor,2022,2022-11-13,LG Signature Players Championship,9796,no,no
asa,2022,2022-11-13,International Series Egypt,9794,no,no
anz,2022,2022-11-13, Victorian PGA Championship,9797,no,no
jpn,2022,2022-11-13,Mitsui Sumitomo VISA Taiheiyo Masters,9792,no,no
pga,2022,2022-11-13,Cadence Bank Houston Open,20,yes,yes
champ,2022,2022-11-13,Charles Schwab Cup Championship,539,no,no
chn,2022,2022-11-13,Hengdian Championship,9793,no,no
pgti,2022,2022-11-12,Ira presents Telangana Masters powered by Telangana Tourism,9795,no,no
champ,2022,2022-11-06,TimberTech Championship,9,no,no
asa,2022,2022-11-06,International Series Morocco,9786,no,no
afr,2022,2022-11-06,PGA Championship,9788,no,no
cha,2022,2022-11-06,Rolex Challenge Tour Grand Final supported by The R&A,2022330,no,no
kor,2022,2022-11-06,Golfzone-Toray Open,9789,no,no
pga,2022,2022-11-06,World Wide Technology Championship at Mayakoba,457,no,basic
